,titles,category
0,李정부 '견제론' 드러난 표심…조작기소 특검·형소법 개정 향배는,Social
1,물리치료 먼저 해야 도수치료…회당 4만원대·연간 15회 '제한',Social
2,"나뭇가지로 '퍽퍽', 버티자 '질질'…반려견 학대 영상 논란",Social
3,"과잉진료 논란 도수치료, 관리급여로 묶는다···1회 4만원대·연 24회 제한",Social
4,중부·전라권서 출근길 '약한 비'…하늘 차차 맑아져[내일날씨],Social
5,"오세훈, 사상 첫 '5선 서울시장'…'1.02%p 차이' 초접전 [짤e몽땅]",Social
6,"‘삼쏘’ 먹고 시구까지…젠슨 황, 잠실야구장 뜬다",Social
7,"""삼겹살집 가나, 공장 가나""…젠슨 황 '예상 동선' 사이트에 7만명 몰려",Social
8,"부정선거 주장 시위대, 과천 중앙선관위 앞서 이틀째 집회",Social
9,[6·3 지선] 경남 기초의회서 민주당 약진…김해·거제·통영서 다수 의석,Social
10,"[속보] 허경영 ""내년 80세, 심각한 고통""석방 호소…세 번째 보석 청구",Social
11,"박완수, 김경수 꺾고 경남지사 재선…김해 뒤졌지만 창원서 선전",Social
12,무주택 세입자는 '서민 없는' 오세훈의 서울이 걱정된다,Social
13,남양주서 이웃 부녀 둔기로 무차별 폭행한 60대 '구속'(종합),Social
14,"""출구조사 보고 찍었다""…투표용지 바닥난 초유의 선거, 선거무효 가능성은?",Social
15,"시민단체 '모스 탄 체포단' 발족…""당장 체포해 수사해야""",Social
16,“아이들 잠 못 자 결석했어요” 투표함 갖힌 우성아파트 80데시벨 치솟은 소음 [세상&],Social
17,담당 공무원에게 민원인 돈가방 전달한 전 도의원…징역형 집유,Social
18,"""생닭도 꿀꺽"" 살찐 늑구가 돌아왔다…오월드, 5일 재개장[컷!노컷잇슈]",Social
19,"'삼성 합병 손해' 주장한 국민연금…법원 ""책임 구조 정리해야"" [CEO와 법정]",Social
20,6월 모의평가 '국어·수학' 쉬웠나…영어 난도 평가는 엇갈려,Social
21,"[영상] 목줄 잡아 질질 끌고, 나뭇가지로 머리 퍽퍽…반려견 학대남 수사",Social
22,기후장관 “개인컵 사용시 음료값 300~400원 할인”... 이번엔 ‘다회용컵 할인제’?,Social
23,"6월 모평, 작년 수능보다 대체로 쉬워…'킬러문항' 없었다",Social
24,"잠실7동 투표소 이틀째 '봉쇄'…시위대 ""인간띠 만들고 막을것""(종합)",Social
25,"순천고 동문들, 지방권력 '약진'…광양시·순천시·부천시·성동구 단체장 배출",Social
26,[2026 지선] 충북도의회 현역 35명 중 8명 생환,Social
27,서울·경남 틀렸다…'사전투표' 벽에 갇힌 방송사 출구조사?,Social
28,서울 자치구의회 25곳 중 여소야대 5곳…여야 동수 2곳,Social
29,"KBS 여론조사 유출사건, 17개월 만에 노사 공방위 열렸지만 '평행선'",Social
30,"“단숨에 50배 폭등” 바가지 요금, 한 번만 걸려도 문 닫는다…‘일방 취소’ 하면 200% 강력 배상",Social
31,'폭발참사' 한화에어로 본사 등 압수수색…안전자료 확보,Social
32,"[단독]""여중생 성폭행 촬영""…10대 3명 소년부 송치 선처",Social
33,[속보] 고1 남학생이 동급생에 흉기 휘둘러… 피해자 병원 이송·가해자 현행범 체포,Social
34,"우상호 진보 도지사 인수위, 보수의 중심 최흥집씨가 이끈다",Social
35,"""어디 보자, 젠슨 황 어딨지?""…동선 추적 사이트 방문자 7만명 육박",Social
36,"[6·3 지선] 시장·도의원·시의원까지…민주당, 김해서 화려한 부활",Social
37,"경기 동·북부 민심 대반전…국힘 14 → 8곳, 민주당 1 → 7곳",Social
38,"[6·3경남]국민의힘, 큰 판 지켰지만…공천 반발 무소속 4곳 내줘",Social
39,"서울시장·경남지사, 재보선 예측 실패… 출구조사 한계 드러나",Social
40,삼성전자 '초기업노조' 과반 지위 상실…노노갈등 여파 노조원 급감,Social
41,"'김건희 불기소' 판단했던 검찰 수심위…시민단체, 명단공개 소송 패소",Social
42,'투표용지 부족 사태' 후폭풍…잠실·선관위 앞 시위 계속,Social
43,[영상]광주 길거리서 반려견 폭행하고 끌고 가...영상 공개 '충격',Social
44,"‘2살 차이’가 당락 갈랐다…고성군의원, 득표 동률에 연장자 당선",Social
45,[영상] 푸바오 中 간지 2년여…'쌍둥이 판다' 올겨울 중국 귀환 초읽기,Social
46,"여야 표대결, 정의당이 가른다?…캐스팅보트 쥔 의원 누구길래",Social
47,당선 축하 현수막 설치하던 70대 추락…중태,Social
48,"‘일당 독주’ 없어진 부산 기초단체장…민주 7곳, 국힘 9곳서 승리",Social
49,"“키오스크 알려줬을 뿐인데”…노부부의 뜻밖 보답, 영화관 VIP 됐다",Social
50,"6월 모평 국어·수학 평이, 영어 어려웠다…고난도 '킬러문항'은 배제",Social
51,힘없이 끌려가던 강아지...학대 의혹 영상에 '공분' [지금이뉴스],Social
52,"'李대통령 명예훼손' 모스탄 출국정지 유지…""수사상 필요""(종합2보)",Social
53,최초 ‘5선 시장’ 오세훈 “주택 31만 채 착공… 글로벌 3위 도시 만든다”,Social
54,"""선거 신뢰 흔든 초유의 사태"" 지역 교수사회도 우려",Social
55,"‘심야 여성 DJ 시초’ 임국희 아나운서, 별세…향년 88세",Social
56,"“이사왔으니, 일회용 말고 쇠젓가락 11세트 주세요” 황당 주문 갑론을박",Social
57,"[속보] ""복도서 길 안 비킨다""...친구 흉기로 찌른 고교생 체포",Social
58,"""당선 확률 10%였는데…"" 오세훈 역전승에 '2억 대박' 터트린 사연",Social
59,[2026 지선] 불가능을 가능으로 바꾼 손훈모의 역전 드라마,Social
60,"""사람없을 땐 활발하게 잘 놀아요""…오월드 재개장 전 만난 늑구",Social
61,"전재수 부산시장 당선자, 노무현 묘역 참배로 첫 일정",Social
62,“민주주의 근간 흔들린 사건”… 투표용지 부족에 들끓는 대학가,Social
63,길어지는 '잠실 투표소' 대치…소음·주차난에 주민 불편 호소,Social
64,'지퍼백 투표지' 논란까지...'재투표'에 대해 달라진 입장? [앵커리포트],Social
65,TK 민주 기초단체장·광역의원 ‘0’명…기초의원 108명은 김부겸이 뿌린 ‘씨앗’,Social
66,경기 기초단체장 민주 19·국힘 12…‘토허제’ 8곳중 5곳은 국힘,Social
67,입장 표명 없는 노태악 선관위원장…위원장으로 대법관 호선 ‘관례’ 비판,Social
68,출구조사와 완전 달랐다…공표 직전 여론조사가 더 정확해,Social
69,"""일 빨리 배운다고 칭찬받았는데""⋯박지현, 카페 알바하다 얻은 교훈은?",Social
70,"""17개구 내주고도 이겼다""…오세훈 5선 시장 만든 '한강 부동산 벨트'",Social
71,"서울시 부시장 제친 ‘3선 구의원’…김경대, 용산구청장 꿈 이루다",Social
72,"김상욱 울산시정, 여소야대 넘어야 산다",Social
73,"""공장 터뜨려놓고 저승으로 도망""…한화에어로 주주, 유족에게 막말 논란",Social
74,우상호 강원도정 인수위원장에 '전 새누리당 최흥집 강원지사 후보',Social
75,14마리 중 어떤 게 늑구?…내일 재개장 오월드 “늑구 표시 안해”,Social
76,"""총알받이로 쓰지 마""…'투표용지 부족 사태' 송파구 공무원의 비판",Social
77,"[취재현장-조준호] 울릉군, 6·3 지방선거가 남긴 파장",Social
78,"민주당, 담양·장성·영광·함평 4개 군 석권…이개호 체제 영향력 '재확인'",Social
79,"배달기사 등 최저임금 적용 공방…""특혜 아냐"" vs ""판단 못해""",Social
80,"BTS 부산 공연 '바가지 숙박'에…정부, '200% 배상' 초강수",Social
81,"""우리가 총알받이냐""…투표용지 부족 사태 방패막이 된 지자체 공무원들 '분노'",Social
82,사고 사흘째에도 차려지지 못한 빈소…마련 시기 미지수 [한화에어로 폭발사고],Social
83,“지자체 공무원 총알받이로 쓰지 말라” 송파구 공무원 분노,Social
84,"민주 김상욱, 시험대 올라…울산시의회 사상 첫 ‘여소야대’",Social
85,'팀코리아' 4조원 규모 미국 FLNG 해양플랜트 사업 수주,Social
86,"경찰·노동당국, 한화에어로스페이스 압수수색···사고 공정·안전보건자료 확보",Social
87,부산 금정구청장에 국힘 윤일현 당선…1년 8개월 만에 재선 성공,Social
88,"담양에서 울고 신안·장흥에서 웃고…조국혁신당, 전남서 '웃픈 결과'",Social
89,통합현안 어떻게 푸나…시험대 오른 민형배 전남광주시장 당선인,Social
90,"[6·3 지선] 부정선거 주장 시위대, 과천 선관위 앞서 이틀째 집회",Social
91,손혜원은 웃었다…기초의회 도전 전·현직 의원들 2승2패,Social
92,"신천지 이만희, 합수본 첫 피의자 소환…국힘 입당 지시 추궁",Social
93,"'국민의힘 공천=당선""은 옛말… 더불어민주당, 경주서 역대 최다 6명 기초의원 당선",Social
94,李대통령 투표소 사례가 모방 소란 불렀나…法 형평성 논란은,Social
95,"[단독]사상 초유의 '투표지 대란', 첫 '50% 지침' 탓이었다",Social
96,견제 없는 지방권력…광주·전남 27개 기초의원 75%는 민주당,Social
97,스타벅스 지난달 결제금액 130억 원 넘게 줄어,Social
98,"78년 만에 사라지는 檢, 李 정부 사법개혁 성패는 하반기 [이재명 정부 1년]",Social
99,소나기 속에서도 요지부동…잠실7동 제2투표소 앞 대치 이틀째(종합),Social
100,‘2077 vs 2077’ 득표수 같자 ‘2살 많은 후보’ 당선…고성군에 무슨 일이?,Social
101,김성환 기후부 장관 “산업용 전기료 가장 비싼 구조…국제 경쟁 맞게 바로 잡아야”,Social
102,12.3 비상계엄 고위 장교 징계처분서 공개③ 음모와 거짓,Social
103,"금양 ‘상장폐지 효력정지’ 가처분, 법원서 오는 24일 첫 심문",Social
104,"춘천 윤민섭, 강원도 유일 재선 진보정당 시의원됐다",Social
105,돌아온 '미스터서울' 오세훈…'서울 대변혁' 완성 나선다,Social
